gene_name,logFC
SH2D2A,-3.0485923317738908
TNFRSF10A,-1.6626331034552222
ABCG2,-2.6106527838731686
EML6,2.1211753347865154
ZBTB10,1.8043567752225997
VASH1,1.9643701330918444
TET1,2.0421298782548694
VCAN,3.5339729982493724
VAMP8,-1.3507111269517884
PCDHB13,2.4469477318631068
GLI1,2.155679565769813
HSPA13,1.688646613507243
FAM83G,-1.2952314412129167
PSIP1,1.201382772062534
MARK1,-1.6727540248341903
TMPRSS13,-3.8931316006121364
CDO1,2.4755942980590104
PIP4K2C,-1.7088552715289118
FAM83F,-1.5942034844175046
TNK1,-1.76110793646911
ETHE1,-1.3298632363411038
PDZD2,-2.1949664787482193
PALD1,2.3310732034862838
SULT1B1,5.018464147277799
ERMP1,-1.9468278497031233
CADM3,4.070891894904652
LPAR2,-1.9553390328808427
TRIM47,-1.8027979290210823
RAET1G,-2.0270413514714956
BEGAIN,2.039712673769136
NCF2,-3.22617744919577
CORO1A,-1.6781852016363346
C1R,1.8983585162145458
ORAI2,1.4520742819915637
MAP3K9,-1.628566700697644
EPHB6,3.9639518732063923
SLC4A11,-1.773954744881072
GLRB,2.4242072226977207
PRAG1,-2.3958941472179562
CTAGE4,-2.7180374190150736
C1QL4,2.460489276837448
FIBIN,3.1710887166877786
CYB5R1,-1.3521350991606906
CYFIP2,2.1113559123082095
SLFN13,-1.583304092244221
MRC2,1.7691257167703225
MAL2,-6.951229903751814
HOMER3,-1.514434052569619
CAV2,-1.2037656415311955
MYL9,2.367618995048148
SERPINF1,1.5223370552544424
PCDH9,2.326585652636039
DUSP6,-2.336945786816417
RABGGTA,-1.411178450791689
TLE2,2.2208294598045173
SPP1,-3.9685378001316787
PPP1R13L,-1.427266109015452
STON1,2.5769476120678934
PHLDA1,-1.9352646691423716
SLC2A10,2.5480289920579144
GJB6,-3.433622587820431
KRT7,-2.170593303257512
LY6D,-6.676286874309871
TMEM125,-3.401333778357689
CCDC85A,3.610393460729731
PHLDA3,-1.5957914323413465
CD1D,-3.051605778133986
MNX1,-2.4224646196527324
IRF5,-1.4302673333588547
MFSD2A,-1.307955034881077
FUT1,-1.9108314326749978
TRO,2.112503250441466
TXNDC15,1.2570175646895778
PTN,3.2077430525681834
S100A11,-2.739755662785587
PTPN3,-1.3112228252867346
LOXL2,2.3222827500436938
CPQ,2.1321571095278387
INPP4B,-1.7227512612133618
SPATA6,2.1268490546841026
SH3TC2,-2.7965120456036137
SGPP2,-2.1476399039121796
ATP8B3,2.297553153956224
NEGR1,2.5510204621281996
CCBE1,2.109868327389761
ESX1,-6.353442080274253
SYNGR1,2.2178134633265496
POFUT2,1.2430625618515578
CD9,-2.4239117654655264
ENO2,2.048492789910015
SLC16A12,3.4214305261566595
SATB2,2.0675413396436104
CLEC3B,4.91055484931686
LMOD1,2.516363740216148
IGFL1,-5.958248704487177
DGKA,-1.767851005987574
ANKRD22,-3.2358016413928588
ZNF185,-1.531386102188832
PARVG,3.3296548274336546
NSUN5,-1.2341255380770548
FAM43B,4.211939830036131
LIN7A,4.799870634887185
TRIB3,-1.467978184408326
DLG4,1.5121668579052643
MFNG,-2.6526376958050797
RASSF2,3.239832211589492
NECTIN3,2.284674520903915
FAM89A,-2.6000100275326514
CNIH2,1.9195997699577374
METTL7B,3.286495859134415
CTSF,2.0561077993705443
FBXO32,1.838315371603997
SLC25A42,1.5281154982794127
CLCN4,1.8782748065883406
P3H1,1.3372936907231512
INKA1,-2.4449677119176574
EBF4,3.5413161365159826
HAP1,-1.8702375236123792
P3H3,2.321084495753077
IFITM10,2.983436256306804
CDC42BPG,-2.3964421883500715
PDE4A,2.151162698335758
BEST4,-2.5991875567994582
CSF1,1.5456786562445624
PLXNB1,-1.5582055941596775
PTPRF,-1.270389771573997
SHTN1,-1.3822874698427625
GLYATL2,2.294059068424885
CNPY4,1.4550371051430346
TOB1,-1.9009513108626934
FGF2,1.5717507861119535
EMP1,1.398341532154767
PCDHGB3,3.0310009692481303
BCAR3,-1.437617141026496
GPR173,2.1007215513965964
CD74,-1.5851186354382263
ADAMTS9,2.4031715517973202
TMEM54,-1.4587388238143948
STOX2,-3.1577676489985045
PRKCH,-2.048839274136445
WNT5A,2.0876753946433424
CARNS1,2.7093722362434733
PCDHGA6,2.478712904396808
EEF1A2,2.495431803587693
GXYLT2,1.5818276430878064
PARP14,1.502978110781915
AGTRAP,-1.251421906698749
OSR2,-2.5779999302820875
ST6GAL1,-1.9232839157217465
RIPK4,-2.3166613525882633
CCN2,2.2364267089869965
TFAP2C,-1.7778604697826323
APH1B,1.5391046554269376
CLGN,4.014203495187141
KCNAB3,2.0260435151407044
SCG2,4.181724776960013
QRFPR,-3.2490722450576683
ZNF853,2.261276837316678
INSC,2.432219190505473
IER3,-2.1266172461639052
ITGB3,3.3220993349265093
RAB11FIP4,-2.6196581194414206
NUAK2,-1.4300264039646493
P4HA3,2.205582474972036
CD55,-1.9657177917566022
ZNF750,-3.1732848236310005
CXCL3,-1.7853396106055426
HBEGF,-1.2793414270756014
NIPAL4,-2.5883585191755265
ENHO,2.5230473966458695
PTPN1,-1.2384445106931075
HR,-2.669334879384064
CRLF1,2.8784766927554433
RFX8,3.304208176654429
PRR5-ARHGAP8,-6.443919916080432
ADAMTS14,2.617539480152375
SNTB1,3.3386950769194925
TBX2,2.496046512814285
PLAAT4,2.3700795454993813
JADE1,1.5520473141370998
CYB561,-1.2115717314455787
SESN3,-2.390119816381513
TIE1,3.4160661568589723
SLC43A1,2.2409420828813187
RASL11A,-2.4064863221700237
GRAMD2B,-1.604354770772305
AJUBA,-1.2138250409181257
TENM3,1.1605527075429871
CFAP69,2.3041885527858055
NFATC1,2.2187162433047836
SIPA1,1.2362223443492022
WDR91,-1.2302393068727149
PLCB2,-2.2118675890869937
CHST1,3.543438531983126
SMPD1,1.4093547370141513
PIMREG,1.1708752162223888
TNS3,1.8198771561213065
MXD3,1.4860630360737184
SEMA3F,-1.2597538935813297
C14orf132,3.6070423668389675
SOCS1,-2.7513944175352703
DNAJB4,2.524396548523193
SYNGR3,2.50991016072579
TMEM170B,1.9685000996779567
EPS8,1.5496508590121727
BLNK,-3.088414426740857
ANGPTL2,2.038446625156229
ADAM33,3.408692376983773
CDH2,3.3388440620308697
SERPINB13,-4.941725393935517
TNFRSF21,-2.229261692555559
PCLO,-2.2291608832315464
